SlowStick
0.980263 0.036184
0.947368 0.039474
0.888158 0.042763
0.835526 0.046053
0.796053 0.049342
0.773026 0.052632
0.750000 0.055921
0.726974 0.059211
0.703947 0.062500
0.684211 0.065789
0.661184 0.069079
0.638158 0.072368
0.618421 0.075658
0.598684 0.078947
0.575658 0.082237
0.555921 0.085526
0.539474 0.088816
0.519737 0.092105
0.500000 0.095395
0.480263 0.098684
0.460526 0.101974
0.437500 0.105263
0.417763 0.108553
0.368421 0.111842
0.256579 0.108553
0.220395 0.105263
0.194079 0.101974
0.177632 0.098684
0.161184 0.095395
0.144737 0.092105
0.131579 0.088816
0.121711 0.085526
0.108553 0.082237
0.098684 0.078947
0.092105 0.075658
0.082237 0.072368
0.075658 0.069079
0.065789 0.065789
0.059211 0.062500
0.052632 0.059211
0.046053 0.055921
0.039474 0.052632
0.032895 0.049342
0.026316 0.046053
0.019737 0.042763
0.016447 0.039474
0.009868 0.036184
0.003289 0.032895
0.000000 0.026316
0.000000 0.023026
0.003289 0.019737
0.006579 0.016447
0.019737 0.019737
0.023026 0.023026
0.029605 0.026316
0.032895 0.029605
0.039474 0.032895
0.046053 0.036184
0.052632 0.039474
0.059211 0.042763
0.065789 0.046053
0.072368 0.049342
0.078947 0.052632
0.085526 0.055921
0.092105 0.059211
0.101974 0.062500
0.108553 0.065789
0.118421 0.069079
0.131579 0.072368
0.141447 0.075658
0.154605 0.078947
0.171053 0.082237
0.187500 0.085526
0.203947 0.088816
0.230263 0.092105
0.263158 0.095395
0.375000 0.092105
0.421053 0.088816
0.440789 0.085526
0.463816 0.082237
0.483553 0.078947
0.503289 0.075658
0.523026 0.072368
0.539474 0.069079
0.559211 0.065789
0.578947 0.062500
0.598684 0.059211
0.618421 0.055921
0.638158 0.052632
0.661184 0.049342
0.684211 0.046053
0.703947 0.042763
0.726974 0.039474
0.750000 0.036184
0.769737 0.032895
0.792763 0.029605
0.832237 0.026316
0.884868 0.023026
0.940789 0.019737
0.980263 0.023026
0.980263 0.036184
